formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Mn2 S16 Ta8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.4615,1.08,0.5207,0.45,0.2144,3.0,1.3587,True,hexagonal,6/mmm,194,18.6153,7.1037,0.5351
F18 Nd6,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.84,1.2298,1.35,0.5846,6.0,2.5981,True,hexagonal,6mm,185,13.1817,6.3376,0.9736
Cu4 S6 Si2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.3333,-1.0,0.68,0.34,0.35,0.1572,1.0,0.4714,True,monoclinic,m,9,17.775,3.9139,0.9863
Ba1 Si2,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,-2.0,1.01,0.4761,1.05,0.495,3.0,1.4142,True,trigonal,-3m,164,25.8596,4.1417,0.7592
F12 Sm4,2,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.0,0.0,2.81,1.2168,1.35,0.5846,6.0,2.5981,True,orthorhombic,mmm,62,13.2216,6.5106,0.6281
Lu1 Te1,2,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.83,0.415,0.35,0.175,1.0,0.5,True,cubic,m-3m,225,27.6159,9.0967,1.0
Ca2 H8 O12 S2,4,0.0,0.0,0.0833,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.44,0.7723,1.55,0.417,3.0,0.862,True,monoclinic,2/m,15,10.5902,2.2497,0.7033
K8 O40 P8 Ti8,4,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.125,-1.0,2.62,0.9922,1.6,0.5454,2.0,0.857,True,orthorhombic,mm2,33,14.0998,2.9139,0.5
Cu6 Li4 O28 P8,4,0.0,0.087,0.0,0.6087,0.0,0.0,0.0,0.0,0.0,0.1304,-1.3913,2.46,0.8412,0.85,0.3253,2.0,0.7118,True,monoclinic,2/m,14,11.4496,3.4833,0.7892
Ca4 Ge4 O14 Zn2,4,0.0,0.0,0.1667,0.5833,0.0,0.0,0.1667,0.0,0.0,0.0833,-1.3333,2.44,0.9846,1.2,0.4688,2.0,0.986,True,tetragonal,-42m,113,14.1685,3.9344,0.6484
Cu4 Pr4 S8,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,1.45,0.5981,0.85,0.3482,5.0,2.0616,True,monoclinic,2/m,14,20.351,5.4788,0.9029
Cu2 Eu2 F2 Se2,4,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,3.98,1.4306,1.35,0.484,6.0,2.1794,True,tetragonal,4/mmm,129,18.057,7.2067,0.458
Ba1 Mo1 O3,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.55,1.0205,1.55,0.6282,4.0,1.7436,True,cubic,m-3m,221,14.2857,6.5387,1.0
Cs4 S24 Sb4,3,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-1.75,1.79,0.5929,1.6,0.5288,3.0,1.111,True,monoclinic,2/m,14,32.8226,2.8271,0.3963
Ba2 O10 Pd2 Y4,4,0.0,0.0,0.1111,0.5556,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,2.55,1.0735,1.55,0.616,4.0,1.6405,True,tetragonal,4/mmm,127,14.3518,6.4479,0.8989
Ba1 La1 Mn1 Mo1 O6,5,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.3,-0.1,2.55,1.034,1.55,0.5931,6.0,2.0616,True,cubic,-43m,216,13.8728,6.2614,1.0
Mo4 O28 P8,3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1,-1.6,1.28,0.5775,0.85,0.2775,3.0,0.922,True,monoclinic,2/m,14,12.7493,3.5151,0.795
Mo2 Ni2 O8,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,-0.3333,1.53,0.6662,0.85,0.3782,3.0,1.2134,True,monoclinic,2/m,13,11.0852,5.4584,0.8098
C8 Cu2 K6 N8,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,-1.9167,2.22,0.8712,1.55,0.6545,2.0,0.9428,True,trigonal,3m,161,20.1836,1.9533,1.0
Ge2 S4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,-2.6667,0.57,0.2687,0.25,0.1179,1.0,0.4714,True,tetragonal,-42m,122,25.385,2.9822,0.9455
F13 Na5 Zr2,3,0.0,0.25,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.0,3.05,1.4043,1.3,0.5898,3.0,0.9206,True,monoclinic,2/m,12,15.7765,2.8649,0.6255
As4 Cl4 Hg12 O16,4,0.0,0.0,0.0,0.4444,0.1111,0.0,0.1111,0.0,0.0,0.3333,-1.0,1.44,0.6726,0.9,0.3961,4.0,1.7638,True,cubic,23,198,17.9499,7.9778,1.0
Cu6 O8 Pb1,3,0.0,0.0,0.0,0.5333,0.0,0.0,0.0,0.0,0.0,0.4,-0.1333,1.54,0.7448,1.2,0.4202,4.0,1.2365,True,cubic,m-3m,225,10.7074,7.4075,1.0
S4 Sr2,2,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6667,1.63,0.7684,1.0,0.4714,2.0,0.9428,True,tetragonal,4/mmm,140,24.3447,3.4503,1.0
F8 Li2 Y2,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,3.0,1.3594,1.3,0.5399,3.0,1.118,True,monoclinic,2/m,15,12.4878,3.8084,0.7986
Ce1 Rh2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.16,0.4236,0.75,0.2739,5.0,1.833,True,tetragonal,4/mmm,139,17.0014,7.8546,0.7028
Na4 Pt2 Se4,3,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.62,0.756,0.65,0.295,3.0,1.0954,True,orthorhombic,mm2,36,23.3903,5.665,0.3274
Ga20 O48 Tb12,3,0.0,0.0,0.0,0.6,0.0,0.15,0.0,0.0,0.15,0.0,0.0,3.44,1.2595,1.15,0.4473,6.0,2.1071,True,cubic,m-3m,230,12.0417,7.0148,1.0
Al2 Au2 Ti2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3.3333,1.0,0.4558,0.15,0.0624,3.0,1.2472,True,hexagonal,6/mmm,194,16.5647,9.0828,0.7733
C8 Hg8 N16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-2.25,1.04,0.4291,0.85,0.3614,4.0,1.7321,True,orthorhombic,mmm,61,16.7549,5.9617,0.6497
Au8 La16 O36,3,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0,0.2667,0.4,0.0,2.34,1.0073,1.35,0.5911,6.0,2.68,True,orthorhombic,mmm,60,15.8287,7.6481,0.5226
In8 La2 Ni2,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.3333,2.8333,0.81,0.2674,0.6,0.1795,4.0,1.2472,True,orthorhombic,mmm,63,23.5883,7.7069,0.5137
Ca1 F6 Pb1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0,-0.25,2.98,1.0561,1.3,0.5629,4.0,1.3919,True,cubic,m-3m,225,20.749,3.614,1.0
Ba1 F6 Ti1,3,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.125,0.0,3.09,1.2083,1.65,0.5831,4.0,1.3919,True,trigonal,-3m,166,15.0681,4.1213,1.0
O20 P6 Sn4,3,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,-2.4667,1.48,0.636,0.85,0.3016,3.0,1.0198,True,monoclinic,2/m,11,14.9804,3.6235,0.5488
Ge3 Li3 Nd3,3,0.0,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,1.03,0.4526,0.6,0.2494,6.0,2.4944,True,hexagonal,-6m2,189,22.5302,5.4988,1.6709
Pu4 Si4,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.62,0.31,0.65,0.325,6.0,3.0,True,orthorhombic,mmm,62,19.1129,11.8194,0.4706
Cr4 F12 O4,3,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,-0.4,2.32,0.8987,0.9,0.3521,2.0,0.8,True,tetragonal,4,76,12.9624,3.2024,0.5847
O2 Th1,2,0.3333,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,2.14,1.0088,1.2,0.5657,7.0,3.2998,True,cubic,m-3m,225,14.7893,9.882,1.0
Ce2 Si4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.0,0.3333,0.0,-1.6667,0.78,0.3677,0.75,0.3536,5.0,2.357,True,tetragonal,4/mmm,141,19.8361,5.4772,0.5365
Ni1 Sn3 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1.01,0.3995,0.65,0.2332,1.0,0.4,True,tetragonal,4mm,107,25.1934,6.6234,0.7427
Br2 O2 Sm2,3,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,2.27,0.9768,1.25,0.5115,6.0,2.4944,True,tetragonal,4/mmm,129,22.6699,6.0128,0.4541
Al2 Cl12 I2,3,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,-0.5,1.55,0.5157,0.4,0.1456,2.0,0.6614,True,monoclinic,2,4,34.6475,2.1963,0.5357
N4 Nb4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.44,0.72,0.8,0.4,3.0,1.5,True,hexagonal,6/mmm,194,11.1009,7.9964,0.2617
Ca4 H4 Mn4 O20 Si4,5,0.0,0.0,0.1111,0.5556,0.0,0.0,0.1111,0.0,0.0,0.1111,-1.2222,2.44,0.932,1.55,0.4641,3.0,0.9558,True,orthorhombic,222,19,10.6404,3.5392,0.6777
B12 Cs2 H12,3,0.0,0.0769,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,1.0,1.41,0.3626,2.35,0.6176,5.0,1.2918,True,cubic,m-3,202,14.317,1.8184,1.0
Na1 Se2 V1,3,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.62,0.6815,0.65,0.2655,1.0,0.433,True,trigonal,-3m,166,21.242,4.5311,1.0
Ba2 Fe4 S6,3,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.0,1.69,0.6171,1.15,0.41,3.0,1.0672,True,orthorhombic,mmm,63,20.246,4.7189,0.7453
O1 Rb2,2,0.0,0.6667,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,1.2351,1.75,0.825,3.0,1.4142,True,cubic,m-3m,225,27.1052,3.8174,1.0
Ge3 Ru3 Sc3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.6667,0.84,0.3597,0.35,0.1546,1.0,0.4714,True,hexagonal,-6m2,189,16.4352,7.3643,2.0096
Ba1 Ru4 Sb12,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.31,0.2887,0.85,0.1846,1.0,0.2353,True,cubic,m-3,204,24.7279,7.9111,1.0
Hf6 Sb6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.75,0.375,0.1,0.05,1.0,0.5,True,orthorhombic,mmm,63,23.1315,10.777,0.268
Ge38 I8 P8,3,0.0,0.0,0.0,0.0,0.1481,0.0,0.7037,0.0,0.0,0.0,-3.4074,0.65,0.2286,0.4,0.1112,2.0,0.5443,True,cubic,-43m,218,22.6164,5.4704,1.0
P1 Sc1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.83,0.415,0.6,0.3,1.0,0.5,True,cubic,m-3m,225,18.7887,3.3553,1.0
O24 P8 V2,3,0.0,0.0,0.0,0.7059,0.0,0.0,0.0,0.0,0.0,0.0588,-1.8235,1.81,0.6324,0.75,0.2272,2.0,0.5882,True,monoclinic,2/m,15,12.9305,2.7711,0.7338
O14 P4 Rb4 Sr2,4,0.0,0.1667,0.0833,0.5833,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333,2.62,1.0929,1.75,0.6891,3.0,1.2555,True,monoclinic,2/m,15,16.9733,3.526,0.4409
Cu2 H4 O10 Se2,4,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.1111,-1.3333,1.54,0.629,1.1,0.3448,3.0,1.0304,True,triclinic,-1,2,11.49,3.6053,0.6761
H2 Mn2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.65,0.325,1.15,0.575,3.0,1.5,True,hexagonal,6/mmm,194,7.4784,6.2112,0.5099
Cu28 P4 Se24,3,0.0,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.5,-0.0714,0.65,0.3123,0.35,0.1168,1.0,0.2575,True,orthorhombic,mm2,33,18.7083,6.0201,0.4962
Er4 Ge8 Ir4,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.5,0.96,0.3691,0.5,0.2062,4.0,1.6583,True,orthorhombic,mmm,71,19.0724,10.9866,0.4496
H8 Li4 N4,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.06,0.7345,1.2,0.4899,1.0,0.5,True,tetragonal,-4,82,8.2523,1.1552,0.8085
Ba2 La1 O6 Ta1,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.2,0.0,2.55,1.1596,1.55,0.6739,6.0,2.2716,True,trigonal,-3,148,16.5917,6.9107,1.0
Ge2 Pd2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,2.2,0.8463,0.5,0.1828,4.0,1.4697,True,tetragonal,4/mmm,139,18.6912,9.1869,0.7201
O36 P12 Y4,3,0.0,0.0,0.0,0.6923,0.0,0.0,0.0,0.0,0.0,0.0769,-1.8462,2.22,0.7272,1.2,0.3371,3.0,0.8427,True,monoclinic,2/m,11,14.9069,2.7919,0.6367
Cu8 O20 Y8,3,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.4444,-0.0,2.22,0.9613,1.2,0.5072,3.0,1.2862,True,orthorhombic,mm2,33,13.5328,5.2477,0.2816
Li8 O16 U4,3,0.1429,0.2857,0.0,0.5714,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,2.46,1.158,1.15,0.4792,7.0,2.4495,True,orthorhombic,mmm,62,12.0602,6.2138,0.4855
Li6 Mn4 O32 P10,4,0.0,0.1154,0.0,0.6154,0.0,0.0,0.0,0.0,0.0,0.0769,-1.5385,2.46,0.9084,0.85,0.3277,2.0,0.6166,True,monoclinic,2/m,13,12.7432,2.7142,3.5899
C4 Cu4 O20 Sr8,4,0.0,0.0,0.2222,0.5556,0.0,0.0,0.0,0.0,0.0,0.1111,-0.8889,2.49,1.0254,1.4,0.5785,3.0,1.2862,True,tetragonal,-4,82,13.1552,4.6394,0.832
Au4 I16 K4,3,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1667,0.0,1.84,0.6782,0.85,0.3024,2.0,0.5774,True,monoclinic,2/m,14,43.0699,4.7787,0.5019
Br2 O2 Pu2,3,0.3333,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,2.16,0.9261,1.15,0.4696,7.0,2.9439,True,tetragonal,4/mmm,129,22.1732,8.4851,0.4607
Na4 O5 U1,3,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.51,1.2167,1.2,0.5952,7.0,2.0224,True,tetragonal,4/m,87,13.716,4.9635,0.787
Au2 Ba2 Bi2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.6667,1.65,0.6888,0.8,0.3342,0.0,0.0,True,hexagonal,6/mmm,194,33.4078,9.0012,0.8214
Bi2 Cu2 Sr2,3,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2.3333,1.07,0.4786,0.65,0.2677,2.0,0.8165,True,hexagonal,6/mmm,194,28.2398,7.059,0.5246
As2 Li2 Mn2,3,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,1.2,0.4901,0.3,0.1312,2.0,0.9428,True,tetragonal,4/mmm,129,17.4197,4.3469,0.6863
La4 O18 W4,3,0.0,0.0,0.0,0.6923,0.0,0.1538,0.0,0.0,0.1538,0.3077,-0.3077,2.34,0.8631,1.35,0.5124,6.0,2.3734,True,triclinic,-1,2,14.0499,7.1775,0.9589
Li4 Mo8 O52 P12,4,0.0,0.0526,0.0,0.6842,0.0,0.0,0.0,0.0,0.0,0.1053,-1.3684,2.46,0.7243,0.85,0.3168,3.0,0.9386,True,monoclinic,2/m,14,13.6558,3.1983,0.9068
F12 Li4 Rh2,3,0.0,0.2222,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.1111,-0.1111,3.0,1.2606,0.95,0.433,3.0,0.9428,True,monoclinic,2/m,14,11.4385,3.7225,0.5108
Cu2 Sb4 Tb2,3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.25,-0.25,2.05,0.8682,0.4,0.15,4.0,1.5,True,tetragonal,4/mmm,129,23.0302,8.3998,0.4381
Ni6 Si10 Y4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-0.8,0.69,0.2735,0.7,0.2656,2.0,0.781,True,orthorhombic,mmm,72,15.1101,5.4324,0.7186
Cr3 Na1 O8,3,0.0,0.0833,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,2.51,0.943,1.2,0.4359,2.0,0.862,True,monoclinic,2/m,12,14.1437,3.0033,0.7349
Mn2 Nd2 O2 Sb2,4,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,2.3,0.8675,1.25,0.4535,6.0,2.1651,True,tetragonal,4/mmm,129,22.078,6.3355,0.4364
Cu4 Ho3 Si4,3,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0,0.2727,0.3636,0.0909,0.67,0.2984,0.65,0.257,5.0,2.049,True,orthorhombic,mmm,71,16.6796,7.7953,0.5252
Al16 Be2 Mg6 O32,4,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9481,0.9,0.3547,1.0,0.4884,True,hexagonal,6mm,186,9.4314,3.4821,0.3102
Al2 La2 O6,3,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.2,0.0,2.34,1.0341,1.35,0.5376,6.0,2.3324,True,trigonal,-3m,167,11.1485,6.3715,1.0
Co5 O8 Ru1,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.2143,1.56,0.7497,0.75,0.3672,3.0,1.0996,True,trigonal,-3m,166,10.9485,5.6738,1.0122
Cs4 O24 Sr2 V8,4,0.0,0.1053,0.0526,0.6316,0.0,0.0,0.0,0.0,0.0,0.2105,-0.0,2.65,1.0628,2.0,0.6687,4.0,1.4142,True,tetragonal,4/mmm,123,19.5635,3.3469,0.5002
Li2 Mn6 O8,3,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375,-0.125,2.46,1.0311,0.85,0.4065,2.0,0.9682,True,monoclinic,2/m,15,10.5242,4.6497,0.9644
Hg2 Ho1,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,1.6667,0.77,0.363,0.25,0.1179,2.0,0.9428,True,hexagonal,6/mmm,191,24.2519,12.9206,1.4425
Ru4 Sb12 Sr1,3,0.0,0.0,0.0588,0.0,0.0,0.0,0.7059,0.0,0.0,0.2353,-1.2941,1.25,0.275,0.7,0.1519,0.0,0.0,True,cubic,m-3,204,24.5361,7.775,1.0
Li2 O6 Re2,3,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.46,1.0221,0.85,0.3932,4.0,1.6,True,trigonal,3m,161,10.3971,7.7028,1.0
Mo8 Na8 O28,3,0.0,0.1818,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-0.3636,2.51,0.9841,1.2,0.5042,3.0,1.1355,True,orthorhombic,mmm,64,15.1388,3.4886,0.4655
Co4 Tm2,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,2.3333,0.63,0.297,0.4,0.1886,4.0,1.8856,True,cubic,m-3m,227,14.9444,10.6226,1.0
Ba2 O6 Tb2,3,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,-0.2,3.44,1.494,1.55,0.6733,6.0,2.5298,True,tetragonal,4/mmm,140,17.393,6.5732,0.9912
Mg18 Sn10,2,0.0,0.0,0.6429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1429,0.65,0.3115,0.05,0.024,2.0,0.9583,True,trigonal,3,146,24.4387,3.9424,1.0
Pt4 Tb8,2,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.6667,0.3333,2.6667,2.28,1.0748,0.4,0.1886,2.0,0.9428,True,orthorhombic,mmm,62,25.5379,11.1174,0.5425
B4 Na8 O10,3,0.0,0.3636,0.0,0.4545,0.0,0.0,0.1818,0.0,0.0,0.0,0.0,2.51,1.1335,1.2,0.5503,1.0,0.481,True,monoclinic,2/m,15,11.7903,2.4785,0.9507
In1 Sm3,2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,3.0,0.61,0.2641,0.3,0.1299,3.0,1.299,True,cubic,m-3m,221,30.1484,7.7922,1.0
Ni2 O12 Sc2 Sr6,4,0.0,0.0,0.2727,0.5455,0.0,0.0,0.0,0.0,0.0,0.1818,-0.0909,2.49,1.1325,1.4,0.6197,3.0,1.3361,True,trigonal,-3m,167,13.678,5.1045,1.0
Ru4 Sn2 U4,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.8,0.82,0.373,0.45,0.2035,4.0,1.9596,True,tetragonal,4/mmm,127,20.1081,13.1618,0.4635
Ce1 P1,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.07,0.535,0.85,0.425,5.0,2.5,True,cubic,m-3m,225,24.3915,5.8238,1.0
Ca2 Li2 O10 Ta3,4,0.0,0.1176,0.1176,0.5882,0.0,0.0,0.0,0.0,0.0,0.1765,0.0588,2.46,1.1101,1.2,0.4784,4.0,1.5519,True,tetragonal,4/mmm,139,12.406,6.2742,0.294
Al6 Na8 O28 S1 Si6,5,0.0,0.1633,0.0,0.5714,0.0,0.0,0.1224,0.0,0.0,0.0,-1.1429,2.51,1.0191,1.2,0.4492,1.0,0.4949,True,cubic,23,195,16.115,2.0911,1.0
As6 Rb4,2,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,-1.4,1.36,0.6663,1.2,0.5879,1.0,0.4899,True,orthorhombic,mmm,69,37.3596,3.5176,0.7665
Hg9 O18 S3,3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3,-1.1,1.44,0.654,0.9,0.4036,4.0,1.7916,True,trigonal,3,144,15.7116,7.7135,0.679
Cu4 Li8 O28 P8,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.0833,-1.3333,2.46,0.9535,0.85,0.3473,2.0,0.6236,True,monoclinic,2/m,14,11.2221,3.0996,1.6136
Ba3 Pb9,2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.44,0.6235,0.35,0.1516,0.0,0.0,True,trigonal,-3m,166,35.0028,9.0009,1.0
Li2 Nd2 O24 P8,4,0.0,0.0556,0.0,0.6667,0.0,0.0556,0.0,0.0,0.0556,0.0,-1.7778,2.46,0.8266,1.25,0.3468,6.0,1.3833,True,monoclinic,2/m,15,13.279,3.2448,0.7897
Ga2 Na6 P8 Sr6,4,0.0,0.2727,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.5935,1.0,0.4324,2.0,0.8814,True,hexagonal,6mm,186,25.9314,3.0589,1.2731
Nd2 Ni4 Sn4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,-0.2,0.82,0.3188,0.5,0.1855,4.0,1.4697,True,tetragonal,4/mmm,129,20.1533,8.2239,0.4365
Ho2 Rh4,2,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.6667,3.0,1.05,0.495,0.4,0.1886,3.0,1.4142,True,cubic,m-3m,227,17.8922,11.4693,1.0
As2 Ni2 Sr1,3,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.4,-0.0,1.23,0.4543,0.85,0.313,1.0,0.4,True,tetragonal,4/mmm,139,18.0158,6.5414,0.6994
I10 Ru1 Y6,3,0.0,0.0,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,0.4118,0.6471,1.44,0.6766,0.5,0.1969,0.0,0.0,True,triclinic,-1,2,39.264,4.7355,0.7948
K12 O30 Si12,3,0.0,0.2222,0.0,0.5556,0.0,0.0,0.2222,0.0,0.0,0.0,-1.7778,2.62,1.0945,1.6,0.6377,2.0,0.8165,True,monoclinic,m,9,15.9794,2.4751,1.0005
Ba4 F20 Sb4,3,0.0,0.0,0.1429,0.0,0.7143,0.0,0.1429,0.0,0.0,0.0,-0.8571,3.09,1.1755,1.65,0.6164,4.0,1.6036,True,orthorhombic,mmm,57,18.7042,4.4907,0.4192
Al16 Mg8 O32,3,0.0,0.0,0.1429,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.9596,0.9,0.371,1.0,0.4949,True,trigonal,3m,160,9.7219,3.4713,0.2494
Ba2 Ca2 Cu3 Hg1 O8,5,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.0625,2.55,1.0613,1.55,0.5866,4.0,1.536,True,tetragonal,4/mmm,123,15.3883,5.8948,0.2396
As2 Cl10,2,0.0,0.0,0.0,0.0,0.8333,0.0,0.1667,0.0,0.0,0.0,-1.3333,0.98,0.3652,0.15,0.0559,1.0,0.3727,True,orthorhombic,mmm,59,35.2972,1.9773,0.842
H8 O8,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1.24,0.62,0.35,0.175,1.0,0.5,True,tetragonal,422,92,7.6962,1.8348,0.3109
Er1 In3,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,3.0,0.54,0.2338,0.2,0.0866,3.0,1.299,True,cubic,m-3m,221,24.8838,8.5369,1.0
