formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Nb4 Ni4 P8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.59,0.2436,0.45,0.2031,2.0,0.8292,True,orthorhombic,mmm,62,13.8676,6.3927,0.2751
Cd4 O28 P8 Sr4,4,0.0,0.0,0.0909,0.6364,0.0,0.0,0.0,0.0,0.0,0.0909,-1.4545,2.49,0.8664,1.4,0.4553,3.0,1.1355,True,monoclinic,2/m,14,14.2842,3.9522,0.4187
As2 Ni2 O7,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.1818,0.0,0.0,0.1818,-1.4545,1.53,0.676,0.75,0.3184,2.0,0.9621,True,monoclinic,2/m,12,12.0451,4.7527,0.8937
Bi12 Ga1 O20,3,0.0,0.0,0.0,0.6061,0.0,0.0,0.0,0.0,0.0,0.0,-0.0303,1.63,0.7026,1.0,0.48,4.0,1.9089,True,orthorhombic,222,23,16.271,8.9607,1.0
O4 Ta2,2,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,1.94,0.9145,0.85,0.4007,4.0,1.8856,True,tetragonal,4/mmm,136,12.0284,9.7992,0.5816
Co2 Pd4 Se4,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.67,0.2524,0.25,0.1158,1.0,0.4899,True,orthorhombic,mmm,72,16.222,8.797,0.7618
Dy2 O3,2,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.4,0.0,0.0,2.22,1.0876,1.15,0.5634,6.0,2.9394,True,trigonal,-3m,164,13.7927,8.9812,0.6259
Rb8 Sb8,2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-1.0,1.23,0.615,0.9,0.45,0.0,0.0,True,orthorhombic,222,19,45.0556,3.8187,0.5648
Cr4 K2 Li6 Na4 O60 Si24,6,0.0,0.12,0.0,0.6,0.0,0.0,0.24,0.0,0.0,0.04,-1.92,2.62,0.9481,1.6,0.3971,2.0,0.6,True,hexagonal,6/mmm,192,12.7753,2.6695,0.7118
O14 Si4 Tl12,3,0.0,0.0,0.0,0.4667,0.0,0.0,0.1333,0.0,0.0,0.0,-1.0667,1.82,0.8775,1.3,0.6043,4.0,1.8785,True,trigonal,-3,147,23.0992,6.683,1.2247
Er6 Zn30,2,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.1667,0.8333,2.1667,0.41,0.1528,0.4,0.1491,4.0,1.4907,True,hexagonal,6/mmm,194,17.1212,7.9902,0.9826
B20 Co4 O40 Sm4,4,0.0,0.0,0.0,0.5882,0.0,0.0588,0.2941,0.0,0.0588,0.0588,-0.0,2.27,0.7854,1.25,0.3269,6.0,1.46,True,monoclinic,2/m,14,9.3225,4.4357,0.8087
As4 Ba2 Pt2,3,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,-0.5,1.39,0.5745,1.0,0.4123,2.0,1.0,True,orthorhombic,mmm,63,24.0821,8.3132,0.5169
Np4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,tetragonal,4/mmm,129,18.4615,21.3172,0.7521
Al6 Li24 Si8,3,0.0,0.6316,0.0,0.0,0.0,0.0,0.2105,0.0,0.0,0.0,0.2632,0.92,0.3936,0.35,0.145,1.0,0.4824,True,cubic,-43m,220,15.3212,1.5777,1.0
Ru4 S8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-0.3333,0.38,0.1791,0.3,0.1414,2.0,0.9428,True,cubic,m-3,205,15.0767,6.065,1.0
Cl6 Fe2,2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,-0.25,1.33,0.5759,0.4,0.1732,1.0,0.433,True,trigonal,-3,148,24.4205,2.7574,1.0
