formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,avgCoordination
Na2 Nd4 O12 Ru2,4,0.0,0.1,0.0,0.6,0.0,0.2,0.0,0.0,0.2,0.1,-0.2,2.51,1.0698,1.25,0.5585,6.0,2.3749,6.0
Ho1 Ru2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,0.97,0.3544,0.65,0.2375,5.0,1.833,7.0
O12 Ru4 Sr4,3,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,2.49,0.9955,1.4,0.56,3.0,1.4697,6.0
Ho2 O12 Ru2 Sr4,4,0.0,0.0,0.2,0.6,0.0,0.1,0.0,0.0,0.1,0.1,-0.2,2.49,1.0824,1.4,0.5975,6.0,2.0125,6.0
As4 Ru2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.3333,-1.0,0.02,0.0094,0.15,0.0707,1.0,0.4714,6.0
Co4 O8 Ru2,3,0.0,0.0,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.4286,-0.1429,1.56,0.726,0.75,0.3632,3.0,1.1952,6.0
B2 Dy1 Ru3,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.5,3.0,0.98,0.3488,0.9,0.3092,6.0,2.0616,7.0
Ge2 Ru2 Tb1,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,2.2,0.8463,0.5,0.1913,4.0,1.4697,7.0
I5 Pr4 Ru1,3,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.4,0.1,1.0,1.53,0.7243,0.55,0.2304,3.0,1.4697,5.0
P4 Ru2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,-1.0,0.01,0.0047,0.3,0.1414,2.0,0.9428,6.0
Mo4 P4 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.3333,0.04,0.017,0.45,0.1871,2.0,0.9428,7.0
Ru6 Si10 Tb4,3,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.3,-0.5,2.2,0.8154,0.65,0.2458,5.0,1.9079,6.666666666666667
La2 Ru6 Si4,3,0.0,0.0,0.0,0.0,0.0,0.1667,0.3333,0.0,0.1667,0.6667,0.6667,1.1,0.3891,0.85,0.2864,5.0,1.675,7.0
O6 Ru2 Sr1,3,0.0,0.0,0.1111,0.6667,0.0,0.0,0.0,0.0,0.0,0.2222,-0.4444,2.49,0.8518,1.4,0.4795,3.0,1.4142,6.0
C1 Ru3 Ta1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,1.05,0.3429,0.75,0.2615,4.0,1.3565,6.0
Nd1 Ru2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.2,1.06,0.3879,0.75,0.275,5.0,1.833,7.0
Li7 O6 Ru1,3,0.0,0.5,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0714,-0.1429,2.46,1.1819,0.85,0.4131,3.0,0.7726,6.0
La1 P12 Ru4,3,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.2941,-1.2353,1.1,0.2571,0.95,0.2414,5.0,1.3517,6.0
Bi4 O14 Ru4,3,0.0,0.0,0.0,0.6364,0.0,0.0,0.0,0.0,0.0,0.1818,-0.1818,1.42,0.6421,1.0,0.4188,4.0,1.7104,6.0
Dy5 P12 Ru19,3,0.0,0.0,0.0,0.0,0.0,0.1389,0.0,0.0,0.1389,0.5278,1.0,0.98,0.3376,0.75,0.2382,5.0,1.5877,6.6315789473684212
